PersonalID,FirstName,MiddleName,LastName,NameSuffix,NameDataQuality,SSN,SSNDataQuality,DOB,DOBDataQuality,AmIndAKNative,Asian,BlackAfAmerican,NativeHIPacific,White,RaceNone,Ethnicity,Female,Male,NoSingleGender,Transgender,Questioning,GenderNone,VeteranStatus,YearEnteredService,YearSeparated,WorldWarII,KoreanWar,VietnamWar,DesertStorm,AfghanistanOEF,IraqOIF,IraqOND,OtherTheater,MilitaryBranch,DischargeStatus,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1478,"Guadalupe","Green","Cavallo",,1,"516251004",1,2000-01-11,1,1,1,1,1,1,,0,1,1,1,1,1,,0,,,,,,,,,,,,,2021-08-23 15:37:37,2021-08-23 00:00:00,27,,5
1479,"Cande",,"Michalski",,2,"581713692",2,1982-10-21,2,0,0,0,1,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-08-23 15:46:49,2021-08-26 00:00:00,27,,5
1480,"Greer",,"Schröter",,8,"319326759",8,,8,1,1,1,0,1,,8,1,1,1,0,1,,99,,,,,,,,,,,,,2021-08-23 16:07:40,2021-10-25 00:00:00,27,,5
1481,"Jacob",,"Voorhees",,1,"603358075",1,1999-01-12,1,1,1,0,0,1,,0,1,1,0,0,1,,0,,,,,,,,,,,,,2021-08-23 16:13:33,2021-08-23 00:00:00,27,,5
1482,"Daily",,"Commons",,1,"771087344",1,1985-01-01,1,0,1,1,0,0,,0,0,1,1,0,0,,0,,,,,,,,,,,,,2021-08-23 16:31:48,2021-08-23 00:00:00,27,,5
1483,"Parveen",,"Sciarra",,9,"740746081",9,,9,1,1,0,1,1,,9,1,1,0,1,1,,99,,,,,,,,,,,,,2021-08-23 16:41:24,2021-10-25 00:00:00,27,,5
1484,"Far",,"Sentence",,1,"118276113",1,2015-01-02,1,0,1,0,0,1,,0,1,0,0,0,1,,99,,,,,,,,,,,,,2021-08-23 16:48:22,2021-08-23 00:00:00,27,,5
1485,"Zoana",,"Sciarra",,1,"278771363",1,2010-11-15,1,1,0,1,1,1,,1,1,0,1,1,1,,99,,,,,,,,,,,,,2021-08-23 16:48:38,2021-08-23 00:00:00,27,,5
1486,"Bob",,"Bobby",,1,"733545624",1,1998-02-15,1,1,1,0,1,0,,0,1,1,0,1,0,,0,,,,,,,,,,,,,2021-08-24 08:36:38,2021-08-24 00:00:00,27,,5
1487,"Susie",,"Bobby",,1,"814154125",1,2015-05-02,1,0,1,1,0,1,,0,0,1,1,0,1,,99,,,,,,,,,,,,,2021-08-24 08:49:47,2021-08-24 00:00:00,27,,5
1488,"Gary",,"Enchilada",,1,"503911656",1,1990-08-08,1,1,0,1,1,0,,0,1,0,1,1,0,,0,,,,,,,,,,,,,2021-08-24 09:00:16,2021-08-24 00:00:00,27,,5
1489,"Pickle",,"Enchilada",,1,"122235395",1,1991-04-12,1,0,1,0,1,1,,0,0,1,0,1,1,,0,,,,,,,,,,,,,2021-08-24 09:08:42,2021-08-24 00:00:00,27,,5
1490,"Gidget",,"Enchilada",,1,"984914948",1,2019-01-17,1,1,0,1,0,1,,1,1,0,1,0,1,,99,,,,,,,,,,,,,2021-08-24 09:16:29,2021-08-24 00:00:00,27,,5
1491,"Susie",,"Que",,1,"759861920",1,2005-11-17,1,1,1,0,0,0,,0,1,1,0,0,0,,99,,,,,,,,,,,,,2021-08-24 09:33:37,2021-08-24 00:00:00,27,,5
1492,"Mister",,"Milo",,1,"939967554",1,1958-03-22,1,1,0,0,0,1,,0,1,0,0,0,1,,1,,,,,,,,,,,,,2021-08-24 09:42:57,2021-08-24 00:00:00,27,,5
1493,"Peter",,"Mustard",,1,"313305103",1,1972-04-18,1,0,0,0,1,1,,0,0,0,0,1,1,,1,,,,,,,,,,,,,2021-08-24 09:50:27,2021-08-24 00:00:00,27,,5
1494,"Prudence",,"Flowers",,1,"771170758",1,2000-05-19,1,0,0,1,1,0,,0,0,0,1,1,0,,1,,,,,,,,,,,,,2021-08-24 09:57:42,2021-08-24 00:00:00,27,,5
1495,"Shashi",,"Baumbach",,1,"675131277",1,1991-05-20,1,0,1,1,1,1,,0,0,1,1,1,1,,1,,,,,,,,,,,,,2021-08-24 10:05:36,2021-08-24 00:00:00,27,,5
1496,"Busy",,"Weight",,1,"686616983",1,1985-01-06,1,1,0,0,1,0,,0,1,0,0,1,0,,0,,,,,,,,,,,,,2021-08-24 10:14:05,2021-08-24 00:00:00,27,,5
1497,"Embarrassing",,"Grade",,1,"742680702",1,2015-01-09,1,0,0,1,0,1,,0,0,0,1,0,1,,99,,,,,,,,,,,,,2021-08-24 10:20:40,2021-08-24 00:00:00,27,,5
1498,"Possible",,"Blast",,1,"445581019",1,1985-01-05,1,0,1,0,1,0,,0,0,1,0,1,0,,0,,,,,,,,,,,,,2021-08-24 10:30:25,2021-08-24 00:00:00,27,,5
1499,"Red",,"Contraction",,1,"744334395",1,1986-02-02,1,1,0,1,0,0,,0,1,0,1,0,0,,0,,,,,,,,,,,,,2021-08-24 10:35:41,2021-08-24 00:00:00,27,,5
1500,"Lucky",,"Ward",,1,"716817601",1,2004-08-31,1,1,1,1,0,0,,0,1,1,1,0,0,,99,,,,,,,,,,,,,2021-08-24 10:37:15,2021-08-24 00:00:00,27,,5
1501,"Meaningful",,"Wine",,1,"259070746",1,2015-02-06,1,0,0,0,0,1,,0,0,0,0,0,1,,99,,,,,,,,,,,,,2021-08-24 10:39:35,2021-08-24 00:00:00,27,,5
1502,"Payable",,"Patch",,1,"136153971",1,1985-01-06,1,0,0,0,1,0,,0,0,0,0,1,0,,1,,,,,,,,,,,,,2021-08-24 10:49:26,2021-08-24 00:00:00,27,,5
1503,"Reluctant",,"Emotion",,1,"950517977",1,1985-04-01,1,0,0,1,0,0,,0,0,0,1,0,0,,1,,,,,,,,,,,,,2021-08-24 10:58:07,2021-08-24 00:00:00,27,,5
1504,"Idowu",,"Drake",,1,"528580771",1,1977-06-25,1,0,1,1,1,0,,0,0,1,1,1,0,,1,,,,,,,,,,,,,2021-08-24 11:00:51,2021-08-24 00:00:00,27,,5
1505,"Successful",,"Villa",,1,"733984210",1,1985-04-06,1,0,1,0,0,0,,0,0,1,0,0,0,,1,,,,,,,,,,,,,2021-08-24 11:08:05,2021-08-24 00:00:00,27,,5
1506,"Yuki",,"O'Hannegan",,1,"681362067",1,1937-04-18,1,0,0,1,1,1,,0,0,0,1,1,1,,1,,,,,,,,,,,,,2021-08-24 11:08:43,2021-08-24 00:00:00,27,,5
1507,"Walking",,"Metal",,1,"814882308",1,1985-04-22,1,1,0,0,0,0,,0,1,0,0,0,0,,1,,,,,,,,,,,,,2021-08-24 11:12:21,2021-08-24 00:00:00,27,,5
1508,"Giant",,"Civilization",,1,"341597235",1,1985-04-16,1,0,0,0,0,0,8,0,0,0,0,0,0,8,0,,,,,,,,,,,,,2021-08-24 11:16:48,2021-08-24 00:00:00,27,,5
1509,"Fortunate",,"Safety",,1,"821093564",1,1985-04-19,1,0,0,0,0,0,9,0,0,0,0,0,0,9,0,,,,,,,,,,,,,2021-08-24 11:20:54,2021-08-24 00:00:00,27,,5
1510,"Nsonowa",,"Lucas",,1,"331285826",1,1966-03-21,1,1,0,0,1,1,,1,1,0,0,1,1,,1,,,,,,,,,,,,,2021-08-24 11:20:57,2021-08-24 00:00:00,27,,5
1511,"Surprising",,"Toll",,1,"977088100",1,1985-05-12,1,0,0,0,0,0,99,0,0,0,0,0,0,99,0,,,,,,,,,,,,,2021-08-24 11:25:21,2021-08-24 00:00:00,27,,5
1512,"Genuine",,"Ward",,1,,99,1959-05-09,99,0,0,0,0,0,99,99,0,0,0,0,0,99,99,,,,,,,,,,,,,2021-08-24 11:32:08,2021-08-24 00:00:00,27,,5
1513,"A",,"Audacity",,9,,99,,99,0,0,0,0,0,99,99,0,0,0,0,0,99,99,,,,,,,,,,,,,2021-08-24 12:02:12,2021-08-24 00:00:00,27,,5
1514,"Manuel",,"Howard",,1,"377005193",1,1966-08-06,1,0,0,0,0,1,,1,0,1,0,0,0,,1,,,,,,,,,,,,,2021-08-25 10:27:32,2021-08-25 00:00:00,27,,5
5114,"Warmth",,"Person",,1,"300015154",1,1997-06-26,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2019-12-20 21:15:00,2019-12-20 00:00:00,27,,5
5115,"Strength","T","Abiding",,1,"300015503",1,1997-03-04,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:43:00,2021-09-30 00:00:00,27,,5
5116,"Sprite","R","Bouncy","III",1,"300015621",1,2000-09-15,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2020-06-12 14:44:00,2020-06-12 00:00:00,27,,5
5117,"Junior","Y","Paramount",,1,"300015870",1,1997-02-28,1,0,0,1,0,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-03-06 18:26:00,2022-05-05 00:00:00,27,,5
5118,"Okra","Z","Parachute",,1,"300021443",1,2002-05-25,1,0,0,0,0,1,,0,0,0,1,0,0,,0,,,,,,,,,,,,,2020-11-05 20:13:00,2020-11-05 00:00:00,27,,5
5119,"Territory","T","Woebegone",,1,"300021901",1,2002-01-22,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:41:00,2021-09-30 00:00:00,27,,5
5120,"Tango","Y","Bright",,1,"300021925",1,2002-08-21,1,0,0,0,0,1,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2021-01-19 20:45:00,2021-04-08 00:00:00,27,,5
5121,"Poppy",,"Pungent",,1,"300040501",1,2001-07-02,1,0,0,1,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-03-08 15:17:00,2022-05-05 00:00:00,27,,5
5122,"Albacore","R","Thumbs",,1,"300041570",1,2001-10-15,1,0,0,0,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:30:00,2022-05-05 00:00:00,27,,5
5123,"Lentil","Z","Pursuant",,1,"300041750",1,2000-02-02,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:47:00,2021-09-30 00:00:00,27,,5
5124,"Bamboo","F","Generally",,1,"300042192",1,1997-06-26,1,0,0,0,0,1,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2021-04-12 18:21:00,2021-04-12 00:00:00,27,,5
5125,"Fork","X","Questioning",,1,"300056658",1,2001-03-30,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:35:00,2022-05-03 00:00:00,27,,5
5126,"Asparagus","F","Puzzle",,1,"300057137",1,1997-04-03,1,0,0,0,0,1,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:45:00,2021-12-29 00:00:00,27,,5
5127,"Bamboo","Z","Lofty",,1,"300057276",1,2000-08-03,1,0,0,1,0,0,,0,1,0,0,0,0,,0,,,,,,,,,,,,,2021-09-08 16:37:00,2022-05-03 00:00:00,27,,5
5128,"Prudence",,"Palate",,1,"300057301",1,2002-10-20,1,0,0,1,0,0,,1,0,1,0,0,0,,0,,,,,,,,,,,,,2021-09-30 18:39:00,2022-05-05 00:00:00,27,,5
5129,"King","R","Petroleum","III",1,"300062591",1,2003-04-03,1,0,0,1,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,2021-12-27 16:03:06,2022-05-03 00:00:00,27,,5
5130,"Curly",,"Glue",,1,"000217679",1,1980-07-23,1,0,0,1,0,1,,1,1,0,0,0,0,,0,,,,,,,,,,,,,1990-01-01 00:00:00,2021-08-18 00:00:00,27,,5
5131,"John",,"Doe",,1,"123456789",1,2003-10-12,1,1,0,0,0,0,,0,1,0,0,0,0,,1,,,,,,,,,,,,,2021-05-11 14:32:45,2021-05-11 00:00:00,27,,5
5132,"Athena","T","Jazzy",,1,"300072252",1,1976-07-06,1,0,0,1,0,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2009-03-19 12:17:00,2021-04-21 00:00:00,27,,5
5133,"Dumbledore","Z","Pyramidal","Jr.",1,"300120213",1,1960-04-30,1,0,0,1,0,0,,0,0,1,0,0,0,,0,,,,,,,,,,,,,2012-03-14 11:32:55,2020-03-06 00:00:00,27,,5
